タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
jppfs_cor:AccruedGuaranteeCACNA,未収保証料、流動資産、建設保証業,Accrued guarantee,Accrued guarantee-CA-CNA
jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
jppfs_cor:Buildings,建物,Buildings,Buildings
