タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
jppfs_cor:AllowanceForDoubtfulAccountsNotesReceivableTrade,貸倒引当金、受取手形,Allowance for doubtful accounts,Allowance for doubtful accounts-notes receivable-trade
jppfs_cor:NotesReceivableTradeNet,受取手形（純額）,"Notes receivable - trade, net","Notes receivable-trade, net"
jppfs_cor:AccountsReceivableShippingCAWAT,海運業未収金、流動資産、海運業,Accounts receivable - shipping,Accounts receivable-shipping-CA-WAT
jppfs_cor:AllowanceForDoubtfulAccountsAccountsReceivableShippingWAT,貸倒引当金、海運業未収金、海運業,Allowance for doubtful accounts,Allowance for doubtful accounts-accounts receivable-shipping-WAT
jppfs_cor:AccountsReceivableShippingNetCAWAT,海運業未収金（純額）、流動資産、海運業,"Accounts receivable - shipping, net","Accounts receivable-shipping, net-CA-WAT"
jppfs_cor:AccountsReceivableOtherBusinessCAWAT,その他事業未収金、流動資産、海運業,Accounts receivable - other business,Accounts receivable-other business-CA-WAT
jppfs_cor:AllowanceForDoubtfulAccountsAccountsReceivableOtherBusinessWAT,貸倒引当金、その他事業未収金、海運業,Allowance for doubtful accounts,Allowance for doubtful accounts-accounts receivable-other business-WAT
